Epoch,Generator Loss,Discriminator Loss
1,2.4463267,1.3382921
2,1.9835707,1.4493676
3,2.0522964,1.2214476
4,1.6049993,1.2170622
5,1.5326848,1.1396973
6,1.2956349,1.1826835
7,1.0844047,1.3262894
8,1.1718909,1.1637368
9,1.1826961,1.2357522
10,1.1327059,1.2882276
11,0.9619234,1.3612025
12,1.0056479,1.282269
13,0.9613035,1.1863933
14,0.8831866,1.2226812
15,0.8696921,1.3050475
16,0.95539856,1.2320454
17,1.0054079,1.4066278
18,0.910385,1.3044832
19,0.74476296,1.295573
20,0.8153244,1.3668692
21,0.8390111,1.3221653
22,0.7590649,1.3591043
23,0.9432265,1.2289027
24,0.8271543,1.2919004
25,0.8708809,1.3523947
26,1.0182123,1.1892443
27,0.89161956,1.1843953
28,0.7802158,1.2997798
29,0.8641609,1.3198926
30,0.6793349,1.3701807
31,0.8380405,1.2695322
32,0.9570885,1.2677462
33,0.8336905,1.3116702
34,0.8717116,1.224826
35,0.8562464,1.2589092
36,0.81149024,1.3232663
37,0.87446564,1.3780937
38,0.89358747,1.3826838
39,0.79377174,1.3978312
40,0.8396243,1.299571
41,0.7709039,1.2631359
42,0.8927665,1.3728735
43,0.69510853,1.3446958
44,0.8432791,1.2786336
45,0.78029937,1.3700693
46,0.90955806,1.3032057
47,0.82807183,1.3389552
48,0.7496993,1.3401015
49,0.8396544,1.3426244
50,0.75415355,1.3475918
